Province,Pollutant,Mean
AB,CO,0.42683392489139516
AB,NH3,0.03857799782249513
AB,NOX,0.20913149618433918
AB,SOX,0.13181953367391905
AB,VOC,0.17961590680989248
BC,CO,0.34015655807352385
BC,NH3,0.00535630481138768
BC,NOX,0.06406042926069895
BC,SOX,0.018101771865963557
BC,VOC,0.06377235038806467
MB,CO,0.22690611565814717
MB,NH3,0.04393453551427658
MB,NOX,0.05056587338153283
MB,SOX,0.24593550851355603
MB,VOC,0.06605562504539259
NB,CO,0.30141657647753667
NB,NH3,0.006092024987157466
NB,NOX,0.07798817647206016
NB,SOX,0.09925508582619928
NB,VOC,0.07491935580204619
NL,CO,0.22543893591288172
NL,NH3,0.0018567303934351512
NL,NOX,0.09225320900663814
NL,SOX,0.08639589785344952
NL,VOC,0.06556306572748825
NS,CO,0.21779419007844705
NS,NH3,0.004561598791328087
NS,NOX,0.07474827467698704
NS,SOX,0.1476232060016874
NS,VOC,0.05341764503520839
ON,CO,0.189769580594253
ON,NH3,0.008144520244269633
ON,NOX,0.0411023726932467
ON,SOX,0.03989708250602142
ON,VOC,0.04947613062908965
PE,CO,0.2642893046246796
PE,NH3,0.02261204775228112
PE,NOX,0.04410656426831784
PE,SOX,0.01445001324084265
PE,VOC,0.05695447557402674
QC,CO,0.22454497164110873
QC,NH3,0.008525442575522053
QC,NOX,0.0348740182338435
QC,SOX,0.027408225916008493
QC,VOC,0.047671865670873496
SK,CO,0.41456605422272413
SK,NH3,0.07555943569973644
SK,NOX,0.1588551170490921
SK,SOX,0.1246841408901552
SK,VOC,0.2297594960953784
